 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   365    12    31  2023      62       0  hru062                 0.000       0.000       0.000       0.441       6.794       0.776       0.000       0.000       0.000       2.697       0.000       0.000
   365    12    31  2023      63       0  hru063                 0.000       0.000       0.000       0.320       0.677       0.117       0.000       0.000       0.000       3.749       0.000       0.000
   365    12    31  2023      64       0  hru064                 0.000       0.000       0.000       0.000       6.961       0.000       0.000       0.000       0.000       0.344       0.000       0.000
   365    12    31  2023      65       0  hru065                 0.000       0.000       0.000       0.000       6.807       0.000       0.000       0.000       0.000       0.392       0.000       0.000
   365    12    31  2023      66       0  hru066                 0.000       0.000       0.000       0.000       7.251       0.000       0.000       0.000       0.000       0.268       0.000       0.000
   365    12    31  2023      67       0  hru067                 0.000       0.000       0.000       0.000       5.281       0.000       0.000       0.000       0.000       0.612       0.000       0.000
   365    12    31  2023      68       0  hru068                 0.000       0.000       0.000       0.000       5.867       0.000       0.000       0.000       0.000       0.770       0.000       0.000
   365    12    31  2023      69       0  hru069                 0.000       0.000       0.000       0.000       5.247       0.000       0.000       0.000       0.000       1.060       0.000       0.000
   365    12    31  2023      70       0  hru070                 0.000       0.000       0.000       0.000       4.653       0.000       0.000       0.000       0.000       1.339       0.000       0.000
   365    12    31  2023      71       0  hru071                 0.000       0.000       0.000       0.000       4.292       0.000       0.000       0.000       0.000       1.504       0.000       0.000
   365    12    31  2023      72       0  hru072                 0.000       0.000       0.000       0.000       5.428       0.000       0.000       0.000       0.000       0.974       0.000       0.000
   365    12    31  2023      73       0  hru073                 0.000       0.000       0.000       1.164       0.652       0.679       0.000       0.000       0.000       6.192       0.000       0.000
   365    12    31  2023      74       0  hru074                 0.000       0.000       0.000       0.403       0.456       0.121       0.000       0.000       0.000       2.831       0.000       0.000
   365    12    31  2023      75       0  hru075                 0.000       0.000       0.000       0.474       0.526       0.198       0.000       0.000       0.000       3.031       0.000       0.000
   365    12    31  2023      76       0  hru076                 0.000       0.000       0.000       0.072       3.855       0.011       0.000       0.000       0.000       2.737       0.000       0.000
   365    12    31  2023      77       0  hru077                 0.000       0.000       0.000       0.058       8.258       0.029       0.000       0.000       0.000       3.781       0.000       0.000
   365    12    31  2023      78       0  hru078                 0.000       0.000       0.000       0.002       5.692       0.003       0.000       0.000       0.000       2.377       0.000       0.000
   365    12    31  2023      79       0  hru079                 0.000       0.000       0.000       1.066      10.159       0.552       0.000       0.000       0.000       6.904       0.000       0.000
   365    12    31  2023      80       0  hru080                 0.000       0.000       0.000       0.000       4.924       0.000       0.000       0.000       0.000       0.785       0.000       0.000
   365    12    31  2023      81       0  hru081                 0.000       0.000       0.000       3.477      10.253       1.965       0.000       0.000       0.000       8.955       0.000       0.000
   365    12    31  2023      82       0  hru082                 0.000       0.000       0.000       0.667       8.484       0.542       0.000       0.000       0.000       6.118       0.000       0.000
   365    12    31  2023      83       0  hru083                 0.000       0.000       0.000       0.232       7.168       0.184       0.000       0.000       0.000       4.822       0.000       0.000
   365    12    31  2023      84       0  hru084                 0.000       0.000       0.000       0.000       3.910       0.000       0.000       0.000       0.000       2.122       0.000       0.000
   365    12    31  2023      85       0  hru085                 0.000       0.000       0.000       0.000       3.718       0.000       0.000       0.000       0.000       1.287       0.000       0.000
   365    12    31  2023      86       0  hru086                 0.000       0.000       0.000       0.779       1.175       0.659       0.000       0.000       0.000       5.256       0.000       0.000
   365    12    31  2023      87       0  hru087                 0.000       0.000       0.000       4.222      10.510       1.715       0.000       0.000       0.000      10.942       0.000       0.000
   365    12    31  2023      88       0  hru088                 0.000       0.000       0.000       0.000       3.088       0.000       0.000       0.000       0.000       1.849       0.000       0.000
   365    12    31  2023      89       0  hru089                 0.000       0.000       0.000       0.012       6.880       0.005       0.000       0.000       0.000       2.873       0.000       0.000
   365    12    31  2023      90       0  hru090                 0.000       0.000       0.000       0.003       6.679       0.002       0.000       0.000       0.000       2.704       0.000       0.000
   365    12    31  2023      91       0  hru091                 0.000       0.000       0.000       0.000       2.024       0.000       0.000       0.000       0.000       1.776       0.000       0.000
   365    12    31  2023      92       0  hru092                 0.000       0.000       0.000       0.338       1.300       0.128       0.000       0.000       0.000       3.696       0.000       0.000
   365    12    31  2023      93       0  hru093                 0.000       0.000       0.000       0.045       7.216       0.033       0.000       0.000       0.000       4.022       0.000       0.000
   365    12    31  2023      94       0  hru094                 0.000       0.000       0.000       0.000       2.226       0.000       0.000       0.000       0.000       1.627       0.000       0.000
   365    12    31  2023      95       0  hru095                 0.033       0.000       0.000       0.138       1.610       0.025       0.000       0.000       0.000       2.700       0.000       0.000
   365    12    31  2023      96       0  hru096                 0.000       0.000       0.000       0.175       6.630       0.202       0.000       0.000       0.000       3.055       0.000       0.000
   365    12    31  2023      97       0  hru097                 0.000       0.000       0.000       0.000       3.928       0.000       0.000       0.000       0.000       0.565       0.000       0.000
   365    12    31  2023      98       0  hru098                 0.000       0.000       0.000       0.177       2.057       0.042       0.000       0.000       0.000       2.845       0.000       0.000
   365    12    31  2023      99       0  hru099                 0.001       0.004       0.000       1.005       2.585       1.014       0.000       0.000       0.000       7.189       0.000       0.000
   365    12    31  2023     100       0  hru100                 0.000       0.000       0.000       1.165       1.948       0.448       0.000       0.000       0.000       6.919       0.000       0.000
   365    12    31  2023     101       0  hru101                 0.000       0.000       0.000       0.000       7.103       0.000       0.000       0.000       0.000       1.695       0.000       0.000
   365    12    31  2023     102       0  hru102                 0.006       0.033       0.004       0.180       1.671       0.031       0.000       0.002       0.000       3.717       0.000       0.000
   365    12    31  2023     103       0  hru103                 0.156       0.705       0.079       2.666      23.014       0.356       0.000       0.063       0.000       6.755       0.000       0.000
   365    12    31  2023     104       0  hru104                 0.005       0.031       0.003       0.175       1.223       0.033       0.000       0.002       0.000       3.748       0.000       0.000
   365    12    31  2023     105       0  hru105                 0.007       0.033       0.004       0.083      12.401       0.084       0.000       0.003       0.000       3.040       0.000       0.000
   365    12    31  2023     106       0  hru106                 0.104       0.644       0.068       0.417       4.399       0.097       0.000       0.043       0.000       3.253       0.000       0.000
   365    12    31  2023     107       0  hru107                 0.089       0.522       0.061       0.531       0.687       0.230       0.000       0.036       0.000       3.570       0.000       0.000
   365    12    31  2023     108       0  hru108                 0.032       0.242       0.039       0.088      29.396       0.246       0.000       0.045       0.000       4.284       0.000       0.000
   365    12    31  2023     109       0  hru109                 0.002       0.011       0.001       0.843      44.373       0.021       0.000       0.001       0.000       2.559       0.000       0.000
   365    12    31  2023     110       0  hru110                 0.001       0.008       0.001       0.030       9.052       0.001       0.000       0.000       0.000       1.949       0.000       0.000
   365    12    31  2023     111       0  hru111                 0.024       0.140       0.017       0.218      14.255       0.083       0.000       0.010       0.000       4.581       0.000       0.000
   365    12    31  2023     112       0  hru112                 0.022       0.291       0.049       0.375       7.650       1.279       0.000       0.062       0.000       4.111       0.000       0.000
   365    12    31  2023     113       0  hru113                 0.000       0.000       0.000       0.000       7.189       0.000       0.000       0.000       0.000       1.023       0.000       0.000
   365    12    31  2023     114       0  hru114                 0.002       0.007       0.001       0.016     178.184       0.009       0.000       0.001       0.000       3.384       0.000       0.000
   365    12    31  2023     115       0  hru115                 0.026       0.144       0.017       0.167       1.592       0.038       0.000       0.010       0.000       3.777       0.000       0.000
   365    12    31  2023     116       0  hru116                 0.000       0.000       0.000       0.000      12.080       0.000       0.000       0.000       0.000       1.826       0.000       0.000
   365    12    31  2023     117       0  hru117                 0.000       0.000       0.000       0.000       8.207       0.000       0.000       0.000       0.000       1.075       0.000       0.000
   365    12    31  2023     118       0  hru118                 0.000       0.000       0.000       0.000       7.396       0.000       0.000       0.000       0.000       1.082       0.000       0.000
   365    12    31  2023     119       0  hru119                 0.134       0.746       0.085       0.396       3.721       0.093       0.000       0.057       0.000       2.949       0.000       0.000
   365    12    31  2023     120       0  hru120                 0.001       0.051       0.006       0.038       5.036       0.004       0.000       0.000       0.000       3.883       0.000       0.000
   365    12    31  2023     121       0  hru121                 0.023       0.212       0.036       0.111      21.126       0.454       0.000       0.045       0.000       4.802       0.000       0.000
   365    12    31  2023     122       0  hru122                 0.015       0.108       0.016       1.335      73.730       0.210       0.000       0.018       0.000       4.728       0.000       0.000
   365    12    31  2023     123       0  hru123                 0.000       0.000       0.000       0.000      39.776       0.000       0.000       0.000       0.000       2.263       0.000       0.000
   365    12    31  2023     124       0  hru124                 0.003       0.021       0.003       0.026      54.835       0.027       0.000       0.003       0.000       2.639       0.000       0.000
   365    12    31  2023     125       0  hru125                 0.229       1.286       0.154       0.918       1.073       0.380       0.000       0.096       0.000       3.529       0.000       0.000
   365    12    31  2023     126       0  hru126                 0.012       0.066       0.008       0.058      12.401       0.050       0.000       0.006       0.000       3.273       0.000       0.000
   365    12    31  2023     127       0  hru127                 0.537       2.948       0.349       1.348       0.902       0.794       0.000       0.195       0.000       3.884       0.000       0.000
   365    12    31  2023     128       0  hru128                 0.139       0.654       0.080       0.053       3.087       0.048       0.000       0.050       0.000       2.978       0.000       0.000
   365    12    31  2023     129       0  hru129                 0.024       0.129       0.016       0.600       0.386       0.137       0.000       0.011       0.000       3.037       0.000       0.000
   365    12    31  2023     130       0  hru130                 0.031       0.176       0.022       0.264      38.978       0.215       0.000       0.018       0.000       4.679       0.000       0.000
   365    12    31  2023     131       0  hru131                 0.018       0.092       0.011       0.106       1.098       0.036       0.000       0.006       0.000       3.249       0.000       0.000
   365    12    31  2023     132       0  hru132                 0.055       0.321       0.038       0.951       0.927       0.335       0.000       0.028       0.000       3.242       0.000       0.000
   365    12    31  2023     133       0  hru133                 0.000       0.000       0.000       0.000     206.791       0.000       0.000       0.000       0.000       2.146       0.000       0.000
   365    12    31  2023     134       0  hru134                 0.039       0.377       0.059       0.710       8.872       0.682       0.000       0.065       0.000       3.825       0.000       0.000
   365    12    31  2023     135       0  hru135                 0.002       0.013       0.001       0.276      64.956       0.024       0.000       0.001       0.000       3.346       0.000       0.000
   365    12    31  2023     136       0  hru136                 0.077       3.034       0.371       4.403      11.022       0.633       0.000       0.015       0.000      11.746       0.000       0.000
   365    12    31  2023     137       0  hru137                 0.359       2.441       0.252       1.022      31.953       0.608       0.000       0.165       0.000       6.931       0.000       0.000
   365    12    31  2023     138       0  hru138                 0.016       0.088       0.010       0.670       1.855       0.225       0.000       0.007       0.000       4.004       0.000       0.000
   365    12    31  2023     139       0  hru139                 0.000       0.000       0.000       0.001      20.110       0.000       0.000       0.000       0.000       1.818       0.000       0.000
   365    12    31  2023     140       0  hru140                 0.000       0.000       0.000       0.000      19.267       0.000       0.000       0.000       0.000       2.088       0.000       0.000
   365    12    31  2023     141       0  hru141                 0.009       0.057       0.007       0.140       6.272       0.088       0.000       0.005       0.000       4.097       0.000       0.000
   365    12    31  2023     142       0  hru142                 0.000       0.000       0.000       0.000       6.657       0.000       0.000       0.000       0.000       0.878       0.000       0.000
   365    12    31  2023     143       0  hru143                 0.057       0.338       0.039       0.338      12.212       0.179       0.000       0.024       0.000       5.540       0.000       0.000
   365    12    31  2023     144       0  hru144                 0.007       0.041       0.005       0.143       1.372       0.056       0.000       0.003       0.000       3.725       0.000       0.000
   365    12    31  2023     145       0  hru145                 0.002       0.011       0.001       0.053       4.157       0.018       0.000       0.001       0.000       2.656       0.000       0.000
   365    12    31  2023     146       0  hru146                 0.060       0.342       0.041       0.845       2.726       0.272       0.000       0.033       0.000       5.992       0.000       0.000
   365    12    31  2023     147       0  hru147                 0.172       0.943       0.113       2.080       3.364       0.271       0.000       0.068       0.000       6.353       0.000       0.000
   365    12    31  2023     148       0  hru148                 0.382       1.940       0.232       3.315       1.671       0.215       0.000       0.140       0.000       3.545       0.000       0.000
   365    12    31  2023     149       0  hru149                 0.001       0.003       0.000       0.025       6.070       0.020       0.000       0.001       0.000       2.029       0.000       0.000
   365    12    31  2023     150       0  hru150                 0.003       0.014       0.002       0.045       6.149       0.055       0.000       0.002       0.000       4.497       0.000       0.000
