 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         365          12          31        2021 rtu010          ru      ru          269 tot   1.000000       28.73601      8.7193032E-05  1.0126851E-03  3.7498149E-04  9.1648810E-02  1.6077174E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0024027E-04  2.6767224E-04  2.6841377E-04  3.2717315E-04  2.9428580E-04  0.0000000E+00  3.3977597E+08
         365          12          31        2021 rtu010          ru      aqu           1 rhg   1.000000       1809.927      0.0000000E+00  0.0000000E+00  0.0000000E+00   8.767755      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2915723E-02
         365          12          31        2021 rtu011          ru      ru          241 tot   1.000000       21.26820      1.3590411E-04  1.3976864E-03  5.1756838E-04  5.5967100E-02  1.7191739E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0414772E-04  2.5918972E-04  2.6021138E-04  3.4130790E-04  2.9593211E-04  0.0000000E+00  9.4686522E+08
         365          12          31        2021 rtu011          ru      aqu           1 rhg   1.000000       1105.712      0.0000000E+00  0.0000000E+00  0.0000000E+00   5.203976      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6525738E-02
         365          12          31        2021 rtu012          ru      ru          253 tot   1.000000       21.87963      9.2276328E-05  1.0821710E-03  4.0092904E-04  4.7142874E-02  3.3317092E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7583717E-04  2.4105003E-04  2.4184078E-04  3.0460337E-04  2.6947926E-04  0.0000000E+00  2.6903406E+09
         365          12          31        2021 rtu012          ru      aqu           1 rhg   1.000000       1926.863      0.0000000E+00  0.0000000E+00  0.0000000E+00   9.068590      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6517946E-02
         365          12          31        2021 rtu013          ru      ru          253 tot   1.000000       148.0077      1.2346978E-03  1.4128413E-02  5.2297227E-03  0.5299045      1.3017103E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.2928524E-04  3.7477474E-04  3.8512057E-04  1.2049378E-03  7.4623938E-04  0.0000000E+00   3495440.    
         365          12          31        2021 rtu013          ru      aqu           1 rhg   1.000000       6574.574      0.0000000E+00  0.0000000E+00  0.0000000E+00   30.94190      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6529825E-02
         365          12          31        2021 rtu014          ru      ru          253 tot  0.5197700       17.45412      1.2385435E-04  1.2890776E-03  4.7731964E-04  4.9802467E-02  1.3458438E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8529363E-04  1.4382289E-04  1.4476731E-04  2.1957525E-04  1.7771663E-04  0.0000000E+00  4.1613322E+08
         365          12          31        2021 rtu014          ru      ru          309 tot  0.4802300       16.12634      1.1443227E-04  1.1910145E-03  4.4100854E-04  4.6013881E-02  1.2434615E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7119794E-04  1.3288196E-04  1.3375453E-04  2.0287177E-04  1.6419735E-04  0.0000000E+00  4.5312893E+08
