 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         365          12          31        2005 rtu021          ru      aqu           1 rhg   1.000000       2381.044      0.0000000E+00  0.0000000E+00  0.0000000E+00   9.209601      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.087265    
         365          12          31        2005 rtu022          ru      ru          126 tot   1.000000       9.250813      2.5573596E-07  2.0613594E-07  6.1840780E-07  3.1808775E-02  2.0613594E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5573585E-04  2.5573585E-04  2.5573585E-04  2.5573585E-04  2.5573585E-04  0.0000000E+00   2607.170    
         365          12          31        2005 rtu022          ru      aqu           1 rhg   1.000000       2595.781      0.0000000E+00  0.0000000E+00  0.0000000E+00   10.03993      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.079998    
         365          12          31        2005 rtu023          ru      ru           88 tot   1.000000       46.91660      2.5389036E-07  5.5236126E-07  1.6570840E-06   1.069626      5.5236126E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5389041E-04  2.5389041E-04  2.5389041E-04  2.5389041E-04  2.5389041E-04  0.0000000E+00   81.44220    
         365          12          31        2005 rtu023          ru      aqu           1 rhg   1.000000       6792.513      0.0000000E+00  0.0000000E+00  0.0000000E+00   193.0971      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.036296    
         365          12          31        2005 rtu024          ru      ru           83 tot  0.5116300       80.60033      9.9323501E-08  8.9744464E-07  2.6923340E-06   1.836808      8.9744464E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.9323486E-05  9.9323486E-05  9.9323486E-05  9.9323486E-05  9.9323486E-05  0.0000000E+00   8.993579    
         365          12          31        2005 rtu024          ru      ru           88 tot  0.4883700       76.93601      9.4807973E-08  8.5664465E-07  2.5699328E-06   1.753302      8.5664465E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.4808027E-05  9.4808027E-05  9.4808027E-05  9.4808027E-05  9.4808027E-05  0.0000000E+00   9.115929    
         365          12          31        2005 rtu024          ru      aqu           1 rhg   1.000000       28252.63      0.0000000E+00  0.0000000E+00  0.0000000E+00   803.2145      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.008706    
         365          12          31        2005 rtu025          ru      ru           89 tot   1.000000       26.99575      2.8746075E-07  2.8769355E-07  8.6308091E-07  9.6334741E-02  2.8769355E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.8746077E-04  2.8746077E-04  2.8746077E-04  2.8746077E-04  2.8746077E-04  0.0000000E+00   152.5212    
         365          12          31        2005 rtu025          ru      aqu           1 rhg   1.000000       3205.494      0.0000000E+00  0.0000000E+00  0.0000000E+00   12.40155      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.064499    
