 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha                    kgha             kgha
   365    12    31  2023      54       0  hru054         0.000       0.000      -6.965     -10.491            0.000            0.000            0.000            0.001            0.309            3.586            0.053           17.295            2.897            5.490            4.941           21.443            3.562            0.000            0.000
   365    12    31  2023      55       0  hru055         0.000       0.000      -7.744     -10.128            0.000            0.000            0.000            2.199            0.636            9.051            0.106           48.445            5.103            5.490            4.941           53.333            7.338            0.000            0.000
   365    12    31  2023      56       0  hru056         0.000       0.000      -7.189     -10.458            0.000            0.000            0.000            2.633            0.747            8.668            0.125           46.598            4.947            5.490            4.941           49.200            6.919            0.000            0.000
   365    12    31  2023      57       0  hru057         0.000       0.000      -7.802     -10.154            0.000            0.000            0.000            2.204            0.639            9.055            0.106           48.492            5.103            5.490            4.941           53.446            7.346            0.000            0.000
   365    12    31  2023      58       0  hru058         0.000       0.000      -8.021     -10.283            0.000            0.000            0.000            2.139            0.649            8.977            0.108           48.021            5.051            5.490            4.941           52.339            7.220            0.000            0.000
   365    12    31  2023      59       0  hru059         0.000       0.000      -7.838     -10.170            0.000            0.000            0.000            2.208            0.641            9.058            0.106           48.521            5.103            5.490            4.941           53.518            7.350            0.000            0.000
   365    12    31  2023      60       0  hru060         0.000       0.000      -7.847     -10.299            0.000            0.000            0.000            2.026            0.650            8.878            0.108           47.376            5.004            5.490            4.941           50.509            7.070            0.000            0.000
   365    12    31  2023      61       0  hru061         0.000       0.000      -7.212      -9.548            0.000            0.000            0.000            2.012            0.626            8.788            0.104           46.746            4.942            5.490            4.941           49.610            6.905            0.000            0.000
   365    12    31  2023      62       0  hru062         0.000       0.000      -7.833     -10.000            0.000            0.000            0.000            1.795            0.641            8.466            0.107           44.754            4.769            5.490            4.941           45.355            6.468            0.000            0.000
   365    12    31  2023      63       0  hru063         0.000       0.000      -8.212     -10.458            0.000            0.000            0.000            2.073            0.661            8.920            0.110           47.754            5.002            5.490            4.941           51.546            7.127            0.000            0.000
   365    12    31  2023      64       0  hru064         0.000       0.000      -7.010     -10.380            0.000            0.000            0.000            2.586            0.744            8.640            0.125           46.380            4.927            5.490            4.941           48.673            6.860            0.000            0.000
   365    12    31  2023      65       0  hru065         0.000       0.000      -7.048     -10.397            0.000            0.000            0.000            2.596            0.745            8.647            0.125           46.434            4.932            5.490            4.941           48.803            6.875            0.000            0.000
   365    12    31  2023      66       0  hru066         0.000       0.000      -6.946     -10.353            0.000            0.000            0.000            2.559            0.743            8.628            0.124           46.276            4.918            5.490            4.941           48.425            6.832            0.000            0.000
   365    12    31  2023      67       0  hru067         0.000       0.000      -5.939      -8.216            0.000            0.000            0.000            1.570            0.453            9.105            0.073           47.850            5.049            5.490            4.941           51.683            7.171            0.000            0.000
   365    12    31  2023      68       0  hru068         0.000       0.000      -7.309     -10.511            0.000            0.000            0.000            2.663            0.749            8.684            0.125           46.717            4.958            5.490            4.941           49.485            6.951            0.000            0.000
   365    12    31  2023      69       0  hru069         0.000       0.000      -7.483     -10.588            0.000            0.000            0.000            2.705            0.752            8.706            0.126           46.875            4.973            5.490            4.941           49.865            6.993            0.000            0.000
   365    12    31  2023      70       0  hru070         0.000       0.000      -7.635     -10.656            0.000            0.000            0.000            2.727            0.755            8.724            0.126           47.014            4.986            5.490            4.941           50.200            7.029            0.000            0.000
   365    12    31  2023      71       0  hru071         0.000       0.000      -7.717     -10.692            0.000            0.000            0.000            2.738            0.757            8.733            0.127           47.087            4.993            5.490            4.941           50.377            7.047            0.000            0.000
   365    12    31  2023      72       0  hru072         0.000       0.000      -7.434     -10.567            0.000            0.000            0.000            2.684            0.751            8.700            0.126           46.834            4.969            5.490            4.941           49.768            6.982            0.000            0.000
   365    12    31  2023      73       0  hru073         0.000       0.000      -9.433     -10.947            0.000            0.000            0.000            1.435            0.703            8.027            0.117           42.834            4.108            5.490            4.941           43.137            5.764            0.000            0.000
   365    12    31  2023      74       0  hru074         0.000       0.000      -7.879     -10.252            0.000            0.000            0.000            2.210            0.642            9.065            0.107           48.573            5.104            5.490            4.941           53.605            7.358            0.000            0.000
   365    12    31  2023      75       0  hru075         0.000       0.000      -7.944     -10.232            0.000            0.000            0.000            2.186            0.646            9.024            0.107           48.337            5.078            5.490            4.941           53.112            7.297            0.000            0.000
   365    12    31  2023      76       0  hru076         0.000       0.000      -7.426      -9.640            0.000            0.000            0.000            2.023            0.631            8.793            0.105           46.806            4.950            5.490            4.941           49.776            6.925            0.000            0.000
   365    12    31  2023      77       0  hru077         0.000       0.000      -7.199      -9.037            0.000            0.000            0.000            1.392            0.481            8.802            0.078           45.853            4.870            5.490            4.941           46.736            6.684            0.000            0.000
   365    12    31  2023      78       0  hru078         0.000       0.000      -6.770      -8.827            0.000            0.000            0.000            1.517            0.465            9.006            0.076           47.242            5.002            5.490            4.941           50.260            7.051            0.000            0.000
   365    12    31  2023      79       0  hru079         0.000       0.000      -8.570      -9.732            0.000            0.000            0.000            0.876            0.519            7.813            0.085           39.742            4.172            5.490            4.941           34.283            5.067            0.000            0.000
   365    12    31  2023      80       0  hru080         0.000       0.000      -6.217      -8.570            0.000            0.000            0.000            1.575            0.452            9.114            0.073           47.909            5.055            5.490            4.941           51.855            7.188            0.000            0.000
   365    12    31  2023      81       0  hru081         0.000       0.000      -9.811     -10.479            0.000            0.000            0.000            0.770            0.556            7.546            0.091           38.560            3.614            5.490            4.941           31.822            4.267            0.000            0.000
   365    12    31  2023      82       0  hru082         0.000       0.000      -7.903      -9.366            0.000            0.000            0.000            1.271            0.501            8.590            0.082           44.585            4.701            5.490            4.941           43.820            6.308            0.000            0.000
   365    12    31  2023      83       0  hru083         0.000       0.000      -7.717      -9.333            0.000            0.000            0.000            1.238            0.494            8.579            0.081           44.515            4.713            5.490            4.941           43.978            6.348            0.000            0.000
   365    12    31  2023      84       0  hru084         0.000       0.000      -6.800      -8.833            0.000            0.000            0.000            1.557            0.465            9.077            0.076           47.724            5.047            5.490            4.941           51.451            7.172            0.000            0.000
   365    12    31  2023      85       0  hru085         0.000       0.000      -6.489      -8.688            0.000            0.000            0.000            1.595            0.456            9.148            0.074           48.171            5.081            5.490            4.941           52.524            7.266            0.000            0.000
   365    12    31  2023      86       0  hru086         0.000       0.000      -9.083     -10.943            0.000            0.000            0.000            1.822            0.686            8.551            0.114           45.682            4.657            5.490            4.941           47.399            6.467            0.000            0.000
   365    12    31  2023      87       0  hru087         0.000       0.000     -11.999     -12.769            0.000            0.000            0.000            1.577            0.901            6.035            0.152           31.155            2.475            5.490            4.941           18.954            2.159            0.000            0.000
   365    12    31  2023      88       0  hru088         0.000       0.000      -5.958      -8.608            0.000            0.000            0.000           14.491            5.041            4.727            0.863           42.095            4.531            5.490            4.941           40.290            5.824            0.000            0.000
   365    12    31  2023      89       0  hru089         0.000       0.000      -7.038      -8.957            0.000            0.000            0.000            1.370            0.467            8.772            0.076           45.634            4.852            5.490            4.941           46.379            6.648            0.000            0.000
   365    12    31  2023      90       0  hru090         0.000       0.000      -6.976      -8.925            0.000            0.000            0.000            1.417            0.467            8.850            0.076           46.153            4.901            5.490            4.941           47.557            6.772            0.000            0.000
   365    12    31  2023      91       0  hru091         0.000       0.000      -5.949      -8.604            0.000            0.000            0.000           14.751            5.005            4.784            0.857           42.317            4.552            5.490            4.941           40.763            5.877            0.000            0.000
   365    12    31  2023      92       0  hru092         0.000       0.000      -8.206     -10.456            0.000            0.000            0.000            2.047            0.662            8.904            0.110           47.605            5.001            5.490            4.941           51.081            7.096            0.000            0.000
   365    12    31  2023      93       0  hru093         0.000       0.000      -7.194      -9.029            0.000            0.000            0.000            1.430            0.478            8.874            0.078           46.333            4.916            5.490            4.941           47.891            6.804            0.000            0.000
   365    12    31  2023      94       0  hru094         0.000       0.000      -5.885      -8.575            0.000            0.000            0.000           14.711            4.994            4.785            0.855           42.281            4.549            5.490            4.941           40.690            5.869            0.000            0.000
   365    12    31  2023      95       0  hru095         0.000       0.000     -10.032     -11.441            0.000            0.000            0.000            1.255            0.737            7.873            0.123           41.443            4.103            5.490            4.941           38.060            5.217            0.000            0.000
   365    12    31  2023      96       0  hru096         0.000       0.000      -6.546      -8.906            0.000            0.000            0.000           13.202            5.274            4.404            0.903           40.983            4.419            5.490            4.941           37.735            5.540            0.000            0.000
   365    12    31  2023      97       0  hru097         0.000       0.000      -5.326      -8.322            0.000            0.000            0.000           14.206            4.913            4.787            0.841           41.891            4.512            5.490            4.941           39.916            5.776            0.000            0.000
   365    12    31  2023      98       0  hru098         0.000       0.000      -7.842     -10.288            0.000            0.000            0.000            2.089            0.648            8.960            0.108           47.924            5.054            5.490            4.941           51.821            7.206            0.000            0.000
   365    12    31  2023      99       0  hru099         0.000       0.000      -9.735     -11.234            0.000            0.000            0.000            1.591            0.715            8.225            0.119           43.879            4.212            5.490            4.941           43.758            5.681            0.000            0.000
   365    12    31  2023     100       0  hru100         0.000       0.000      -9.488     -11.061            0.000            0.000            0.000            1.515            0.719            8.173            0.120           43.434            4.254            5.490            4.941           42.474            5.665            0.000            0.000
