FID,Shape *,id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
100,Polygon,101,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
101,Polygon,102,agrl20,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,0
102,Polygon,103,agrl26,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,alfa,0
103,Polygon,104,agrl66,alfa,alfa,alfa,alfa,oats,alfa,alfa,alfa,alfa,oats,alfa,alfa,alfa,alfa,oats,alfa,alfa,alfa,alfa,oats,alfa,alfa,alfa,alfa,oats,alfa,alfa,alfa,alfa,oats,alfa,alfa,alfa,alfa,oats,0
104,Polygon,105,agrl90,alfa,alfa,alfa,fes2,barl,alfa,alfa,alfa,fes2,barl,alfa,alfa,alfa,fes2,barl,alfa,alfa,alfa,fes2,barl,alfa,alfa,alfa,fes2,barl,alfa,alfa,alfa,fes2,barl,alfa,alfa,alfa,fes2,barl,0
105,Polygon,106,agrl96,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,alfa,alfa,alfa,fpea,alfa,0
106,Polygon,107,agrl204,alfa,barl,barl,oats,alfa,alfa,barl,barl,oats,alfa,alfa,barl,barl,oats,alfa,alfa,barl,barl,oats,alfa,alfa,barl,barl,oats,alfa,alfa,barl,barl,oats,alfa,alfa,barl,barl,oats,alfa,0
107,Polygon,108,agrl207,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,alfa,barl,buck,pota,pota,0
108,Polygon,109,agrl218,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,alfa,barl,pota,wwht,canp,0
109,Polygon,110,agrl246,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,alfa,buck,rye,alfa,rye,0
110,Polygon,111,agrl247,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,alfa,buck,rye,buck,rye,0
