date,value
2008-02-08,0.0605
2008-02-09,0.051666667
2008-02-10,0.045
2008-02-11,0.045
2008-02-12,0.045
2008-02-13,0.043333333
2008-02-14,0.04
2008-02-15,0.04
2008-02-16,0.035
2008-02-17,0.031666667
2008-02-18,0.035
2008-02-19,0.035
2008-02-20,0.035
2008-02-21,0.035
2008-02-22,0.035
2008-02-23,0.035
2008-02-24,0.035
2008-02-25,0.035
2008-02-26,0.035
2008-02-27,0.035
2008-02-28,0.035
2008-02-29,0.035
2008-03-01,0.035
2008-03-02,0.035
2008-03-03,0.035
2008-03-04,0.035
2008-03-05,0.036666667
2008-03-06,0.0375
2008-03-07,0.035
2008-03-08,0.036666667
2008-03-09,0.043333333
2008-03-10,0.043333333
2008-03-11,0.04
2008-03-12,0.04
2008-03-13,0.039074074
2008-03-14,0.035
2008-03-15,0.035
2008-03-16,0.035
2008-03-17,0.035
2008-03-18,0.035
2008-03-19,0.035
2008-03-20,0.035
2008-03-21,0.035
2008-03-22,0.0396875
2008-03-23,0.08053125
2008-03-24,1.13562
2008-03-25,1.233385965
2008-03-26,0.41594
2008-03-27,0.214676471
2008-03-28,0.138
2008-03-29,0.098821429
2008-03-30,0.072827586
2008-03-31,0.066
2008-04-01,0.051689655
2008-04-02,0.045
2008-04-03,0.061030303
2008-04-04,0.054344828
2008-04-05,0.042592593
2008-04-06,0.04
2008-04-07,0.04
2008-04-08,0.036851852
2008-04-09,0.035
2008-04-10,0.035
2008-04-11,0.033703704
2008-04-12,0.03
2008-04-13,0.03
2008-04-14,0.03
2008-04-15,0.03
2008-04-16,0.031666667
2008-04-17,0.035
2008-04-18,0.035
2008-04-19,0.035
2008-04-20,0.033333333
2008-04-21,0.028666667
2008-04-22,0.035285714
2008-04-23,0.043
2008-04-24,0.041
2008-04-25,0.033333333
2008-04-26,0.028666667
2008-04-27,0.026
2008-04-28,0.026
2008-04-29,0.024333333
2008-04-30,0.021
2008-05-01,0.021
2008-05-02,0.022666667
2008-05-03,0.0284
2008-05-04,0.024333333
2008-05-05,0.021
2008-05-06,0.017666667
2008-05-07,0.019333333
2008-05-08,0.026
2008-05-09,0.026
2008-05-10,0.024333333
2008-05-11,0.021
2008-05-12,0.021
2008-05-13,0.019333333
2008-05-14,0.016
2008-05-15,0.016
2008-05-16,0.016
2008-05-17,0.014
2008-05-18,0.013727273
2008-05-19,0.013
2008-05-20,0.017428571
2008-05-21,0.016
2008-05-22,0.016
2008-05-23,0.016
2008-05-24,0.016
2008-05-25,0.016
2008-05-26,0.017145833
2008-05-27,0.0138125
2008-05-28,0.011
2008-05-29,0.011
2008-05-30,0.010708333
2008-05-31,0.011
2008-06-01,0.012458333
2008-06-02,0.014020833
2008-06-03,0.014229167
2008-06-04,0.009645833
2008-06-05,0.008833333
2008-06-06,0.011770833
2008-06-07,0.015166667
2008-06-08,0.016
2008-06-09,0.016
2008-06-10,0.016
2008-06-11,0.012979167
2008-06-12,0.013395833
2008-06-13,0.014125
2008-06-14,0.016
2008-06-15,0.016
2008-06-16,0.016
2008-06-17,0.016
2008-06-18,0.016
2008-06-19,0.016
2008-06-20,0.016
2008-06-21,0.015166667
2008-06-22,0.026
2008-06-23,0.02475
2008-06-24,0.022666667
2008-06-25,0.019229167
2008-06-26,0.021
2008-06-27,0.021
2008-06-28,0.021
2008-06-29,0.021
2008-06-30,0.021
2008-07-01,0.021
2008-07-02,0.016104167
2008-07-03,0.016
2008-07-04,0.016
2008-07-05,0.016
2008-07-06,0.016
2008-07-07,0.016
2008-07-08,0.016
2008-07-09,0.016
2008-07-10,0.020583333
2008-07-11,0.021
2008-07-12,0.018604167
2008-07-13,0.028875
2008-07-14,1.091979167
2008-07-15,0.845875
2008-07-16,0.118708333
2008-07-17,0.045020833
2008-07-18,0.044208333
2008-07-19,0.070895833
2008-07-20,0.038958333
2008-07-21,0.041166667
2008-07-22,0.071583333
2008-07-23,0.053375
2008-07-24,0.504729167
2008-07-25,0.137708333
2008-07-26,0.0654375
2008-07-27,0.040729167
2008-07-28,0.035
2008-07-29,0.029520833
2008-07-30,0.026
2008-07-31,0.026
2008-08-01,0.026
2008-08-02,0.022666667
2008-08-03,0.021
2008-08-04,0.021
2008-08-05,0.038854167
2008-08-06,0.041770833
2008-08-07,0.035104167
2008-08-08,0.027416667
2008-08-09,0.044520833
2008-08-10,0.057145833
2008-08-11,0.037
2008-08-12,0.0302
2008-08-13,0.026
2008-08-14,0.022666667
2008-08-15,0.021
2008-08-16,0.675828571
2008-08-17,0.284529412
2008-08-18,0.083454545
2008-08-19,0.046
2008-08-20,0.036666667
2008-08-21,0.033333333
2008-08-22,0.03
2008-08-23,0.027333333
2008-08-24,0.065086957
2008-08-25,0.067
2008-08-26,0.04
2008-08-27,0.035
2008-08-28,0.0325
2008-08-29,0.03
2008-08-30,0.028666667
2008-08-31,0.026
2008-09-01,0.026
2008-09-02,0.024333333
2008-09-03,0.021
2008-09-04,0.021
2008-09-05,0.021
2008-09-06,0.019333333
2008-09-07,0.016
