 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   366    12    31  2000       5       0  cha5                 0.2593E+00     0.7854E-01     0.2593E+00     0.8232E+00     0.3216E+01     0.4156E+01     0.1608E+01     0.0000E+00     0.1545E+01     0.0000E+00     0.2548E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.1259E+00     0.0000E+00     0.1426E+05     0.4318E+04     0.1426E+05     0.4051E-02
   366    12    31  2000       6       0  cha6                 0.3032E+00     0.2309E-01     0.3032E+00     0.8113E+00     0.4828E+01     0.5534E+01     0.2414E+01     0.0000E+00     0.1069E+01     0.0000E+00     0.3120E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1160E+00     0.0000E+00     0.1104E+05     0.8404E+03     0.1104E+05     0.2043E-02
   365    12    31  2001       1       0  cha1                 0.2854E-01     0.2751E-01     0.2851E-01     0.1234E+00     0.1455E-01     0.6543E+00     0.7273E-02     0.0000E+00     0.6624E-02     0.0000E+00     0.6470E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.7675E-01     0.0000E+00     0.5756E+04     0.5548E+04     0.5751E+04     0.5222E-03
   365    12    31  2001       2       0  cha2                 0.1075E+00     0.8682E-01     0.1075E+00     0.5191E+00     0.5405E-06     0.1912E+00     0.2702E-06     0.0000E+00     0.2295E-07     0.0000E+00     0.1912E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.6209E-01     0.0000E+00     0.9500E+05     0.7671E+05     0.9499E+05     0.7472E-04
   365    12    31  2001       3       0  cha3                 0.1747E+00     0.6084E-01     0.1746E+00     0.7774E+00     0.1870E+01     0.7105E+01     0.9352E+00     0.0000E+00     0.8583E+00     0.1893E+00     0.5980E+01     0.0000E+00     0.1292E+01     0.2240E+00     0.5260E-02     0.5154E-02     0.7363E+00     0.0000E+00     0.4468E+05     0.1556E+05     0.4467E+05     0.4291E-02
   365    12    31  2001       4       0  cha4                 0.1157E+00     0.1114E+00     0.1157E+00     0.4876E+00     0.4434E+01     0.2288E+01     0.2217E+01     0.0000E+00     0.2196E+01     0.0000E+00     0.7110E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.7488E-02     0.0000E+00     0.1957E+05     0.1884E+05     0.1957E+05     0.1306E-02
   365    12    31  2001       5       0  cha5                 0.4211E+00     0.9594E-01     0.4211E+00     0.1337E+01     0.1009E+02     0.5070E+01     0.5045E+01     0.0000E+00     0.5028E+01     0.0000E+00     0.2559E-01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.1265E-02     0.0000E+00     0.2309E+05     0.5261E+04     0.2309E+05     0.1446E-02
   365    12    31  2001       6       0  cha6                 0.4781E+00     0.2823E-01     0.4781E+00     0.1279E+01     0.7204E+01     0.3688E+01     0.3602E+01     0.0000E+00     0.3566E+01     0.0000E+00     0.8621E-01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.3177E-02     0.0000E+00     0.1736E+05     0.1025E+04     0.1736E+05     0.3656E-03
   365    12    31  2002       1       0  cha1                 0.2477E-01     0.2340E-01     0.2480E-01     0.1071E+00     0.1348E+01     0.8652E+00     0.6740E+00     0.0000E+00     0.6740E+00     0.0000E+00     0.1911E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.2287E-01     0.0000E+00     0.4997E+04     0.4720E+04     0.5002E+04     0.3350E-03
   365    12    31  2002       2       0  cha2                 0.8193E-01     0.6570E-01     0.8193E-01     0.3955E+00     0.3127E-01     0.3316E+00     0.1564E-01     0.0000E+00     0.1563E-01     0.0000E+00     0.3160E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.1034E+00     0.0000E+00     0.7239E+05     0.5805E+05     0.7239E+05     0.1313E-03
